"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"GECCL","Great Elm Capital Corp.","25.4777","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/geccl",
"GEC","Great Elm Capital Group, Inc. ","3.95","$100.45M","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/gec",
"GLDD","Great Lakes Dredge & Dock Corporation","5.25","$323.8M","n/a","Basic Industries","Military/Government/Technical","http://www.nasdaq.com/symbol/gldd",
"GPL","Great Panther Silver Limited","1.34","$225.6M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/gpl",
"GXP","Great Plains Energy Inc","32.18","$6.94B","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/gxp",
"GSBC","Great Southern Bancorp, Inc.","51.1","$718.4M","1989","Finance","Major Banks","http://www.nasdaq.com/symbol/gsbc",
"GWB","Great Western Bancorp, Inc.","39.99","$2.35B","2014","Finance","Major Banks","http://www.nasdaq.com/symbol/gwb",
"GNBC","Green Bancorp, Inc.","20.65","$769.85M","2014","Finance","Major Banks","http://www.nasdaq.com/symbol/gnbc",
"GRBK","Green Brick Partners, Inc.","11.9","$601.96M","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/grbk",
"GDOT","Green Dot Corporation","59.58","$3.03B","2010","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/gdot",
"GPP","Green Plains Partners LP","18.65","$593.29M","2015","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/gpp",
"GPRE","Green Plains, Inc.","16.55","$681.23M","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/gpre",
"GBX","Greenbrier Companies, Inc. (The)","53.95","$1.55B","1994","Capital Goods","Railroads","http://www.nasdaq.com/symbol/gbx",
"GCBC","Greene County Bancorp, Inc.","32.75","$278.49M","n/a","Finance","Banks","http://www.nasdaq.com/symbol/gcbc",
"GHL","Greenhill & Co., Inc.","19.85","$521.33M","2004","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/ghl",
"GLRE","Greenlight Reinsurance, Ltd.","20.45","$763.78M","2007","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/glre",
"GEF","Greif Bros. Corporation","62.08","$3.65B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gef",
"GEF.B","Greif Bros. Corporation","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gef.b",
"GSUM","Gridsum Holding Inc.","9.33","$286.77M","2016","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/gsum",
"GRIF","Griffin Industrial Realty, Inc.","37.09","$185.47M","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/grif",
"GFF","Griffon Corporation","19.85","$939.12M","n/a","Capital Goods","Building Products","http://www.nasdaq.com/symbol/gff",
"GRFS","Grifols, S.A.","23.4","$15.99B","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/grfs",
"GPI","Group 1 Automotive, Inc.","72.51","$1.51B","1997","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/gpi",
"GRPN","Groupon, Inc.","5.24","$2.93B","2011","Technology","Advertising","http://www.nasdaq.com/symbol/grpn",
"GRUB","GrubHub Inc.","71.26","$6.18B","2014","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/grub",
"OMAB","Grupo Aeroportuario del Centro Norte S.A.B. de C.V.","42.82","$2.11B","2006","Transportation","Aerospace","http://www.nasdaq.com/symbol/omab",
"PAC","Grupo Aeroportuario Del Pacifico, S.A. de C.V.","104.57","$5.87B","2006","Transportation","Aerospace","http://www.nasdaq.com/symbol/pac",
"ASR","Grupo Aeroportuario del Sureste, S.A. de C.V.","190.13","$5.7B","n/a","Transportation","Aerospace","http://www.nasdaq.com/symbol/asr",
"AVAL","Grupo Aval Acciones y Valores S.A.","8.66","$9.65B","2014","Finance","Commercial Banks","http://www.nasdaq.com/symbol/aval",
"GGAL","Grupo Financiero Galicia S.A.","67.21","$8.48B","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/ggal",
"BSMX","Grupo Financiero Santander Mexico S.A. B. de C.V.","7.63","$10.36B","2012","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bsmx",
"SIM","Grupo Simec, S.A. de C.V.","9.4299","$1.56B","1993","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/sim",
"SUPV","Grupo Supervielle S.A.","30.26","$2.2B","2016","Finance","Commercial Banks","http://www.nasdaq.com/symbol/supv",
"TV","Grupo Televisa S.A.","19.25","$11.35B","1993","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/tv",
"GVP","GSE Systems, Inc.","3.1","$60.14M","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/gvp",
"GSIT","GSI Technology, Inc.","8.01","$168.88M","2007","Technology","Semiconductors","http://www.nasdaq.com/symbol/gsit",
"GSVC","GSV Capital Corp","5.58","$118.98M","2011","n/a","n/a","http://www.nasdaq.com/symbol/gsvc",
"GTT","GTT Communications, Inc.","43.8","$1.9B","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/gtt",
"GTXI","GTx, Inc.","11.5","$247.73M","2004","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/gtxi",
"GTYH","GTY Technology Holdings, Inc.","9.91","$683.79M","2016","Finance","Business Services","http://www.nasdaq.com/symbol/gtyh",
"GTYHU","GTY Technology Holdings, Inc.","10.3135","n/a","2016","Finance","Business Services","http://www.nasdaq.com/symbol/gtyhu",
"GTYHW","GTY Technology Holdings, Inc.","1.35","n/a","2016","Finance","Business Services","http://www.nasdaq.com/symbol/gtyhw",
"GSH","Guangshen Railway Company Limited","33.7981","$4.79B","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/gsh",
"GBNK","Guaranty Bancorp","27.4","$801.21M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/gbnk",
"GNTY","Guaranty Bancshares, Inc.","30.23","$334.31M","2017","Finance","Major Banks","http://www.nasdaq.com/symbol/gnty",
"GFED","Guaranty Federal Bancshares, Inc.","22.75","$100.6M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/gfed",
"GES","Guess?, Inc.","17.14","$1.41B","1996","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/ges",
"GGM","Guggenheim Credit Allocation Fund","21.87","$161.08M","2013","n/a","n/a","http://www.nasdaq.com/symbol/ggm",
"GPM","Guggenheim Enhanced Equity Income Fund","9.08","$436.17M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gpm",
"GOF","Guggenheim Strategic Opportunities Fund","21.53","$521.55M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gof",
"GBAB","Guggenheim Taxable Municipal Managed Duration Trst","22.67","$394.83M","2010","n/a","n/a","http://www.nasdaq.com/symbol/gbab",
"GWRE","Guidewire Software, Inc.","74.46","$5.71B","2012","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/gwre",
"GIFI","Gulf Island Fabrication, Inc.","13.65","$203.35M","1997","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/gifi",
"GURE","Gulf Resources, Inc.","1.46","$68.33M","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/gure",
"GLF","GulfMark Offshore, Inc.","27.5","$780.23M","2017","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/glf",
"GLF.WS","GulfMark Offshore, Inc.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/glf.ws",
"GPOR","Gulfport Energy Corporation","13.26","$2.43B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/gpor",
"GWPH","GW Pharmaceuticals Plc","134.09","$3.4B","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/gwph",
"GWGH","GWG Holdings, Inc","8.4669","$49.22M","2014","Finance","Life Insurance","http://www.nasdaq.com/symbol/gwgh",
"GYRO","Gyrodyne , LLC","20.17","$29.91M","n/a","Consumer Services","Building operators","http://www.nasdaq.com/symbol/gyro",
