"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"GFNSL","General Finance Corporation","25.18","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/gfnsl",
"GIS","General Mills, Inc.","59.04","$33.6B","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/gis",
"GMO","General Moly, Inc","0.33","$36.69M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/gmo",
"GM","General Motors Company","41.8","$60.68B","2010","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/gm",
"GM.WS.B","General Motors Company","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gm.ws.b",
"GCO","Genesco Inc.","35.2","$700.94M","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/gco",
"GWR","Genesee & Wyoming, Inc.","80.39","$5.02B","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/gwr",
"GEL","Genesis Energy, L.P.","22.83","$2.8B","1996","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/gel",
"GEN           ","Genesis Healthcare, Inc.","0.8502","$132.98M","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/gen",
"GENE","Genetic Technologies Ltd","1.22","$19.81M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/gene",
"GNE","Genie Energy Ltd.","4.63","$115.03M","2011","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/gne",
"GNE^A","Genie Energy Ltd.","7.3595","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gne^a",
"GNUS","Genius Brands International, Inc.","2.76","$21.01M","n/a","Consumer Services","Movies/Entertainment","http://www.nasdaq.com/symbol/gnus",
"GNMK","GenMark Diagnostics, Inc.","4.65","$254.8M","2010","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/gnmk",
"GNCA","Genocea Biosciences, Inc.","1.23","$35.31M","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/gnca",
"GHDX","Genomic Health, Inc.","34.55","$1.2B","2005","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/ghdx",
"G","Genpact Limited","32.39","$6.25B","2007","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/g",
"GNTX","Gentex Corporation","21.13","$6B","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/gntx",
"THRM","Gentherm Inc","32.05","$1.18B","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/thrm",
"GPC","Genuine Parts Company","96.58","$14.16B","n/a","Capital Goods","Automotive Aftermarket","http://www.nasdaq.com/symbol/gpc",
"GNW","Genworth Financial Inc","3.23","$1.61B","2004","Finance","Life Insurance","http://www.nasdaq.com/symbol/gnw",
"GEO","Geo Group Inc (The)","24.07","$2.99B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/geo",
"GPRK","Geopark Ltd","9.6","$576.93M","2014","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/gprk",
"GPJA","Georgia Power Company","25.33","n/a","2017","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/gpja",
"GEOS","Geospace Technologies Corporation","13.505","$181.48M","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/geos",
"GGB","Gerdau S.A.","3.94","$6.73B","n/a","Capital Goods","Steel/Iron Ore","http://www.nasdaq.com/symbol/ggb",
"GABC","German American Bancorp, Inc.","34.9","$800.26M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/gabc",
"GERN","Geron Corporation","1.81","$288.21M","1996","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/gern",
"GTY","Getty Realty Corporation","27.34","$1.08B","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/gty",
"GEVO","Gevo, Inc.","0.6","$13.09M","2011","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/gevo",
"GGP","GGP Inc.","23.74","$22.71B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ggp",
